dimension,knn,knn_std,train_total_loss,train_total_loss_std,test_total_loss,test_total_loss_std,test_reconstruction,test_reconstruction_std,test_kl,test_kl_std
1,0.3801169590643274,0.0384112412116045,0.8289773861567179,0.0043278257961679,0.868539015452067,0.0107242286937858,0.8648818333943685,0.0106626943278484,9.133957227071129,0.7762110128396755
2,0.6766917293233083,0.017484084825778,0.7086697220802307,0.0058749316862013,0.7598674893379211,0.0147500428786693,0.7564339637756348,0.0147316624541048,8.575324376424154,0.3434072339152608
4,0.8529657477025898,0.0092275363552107,0.5855400760968527,0.0046619844767917,0.6292561292648315,0.009268337407497,0.6264975269635519,0.0093214579435203,6.889736652374268,0.283087460016628
8,0.9231411862990809,0.00827025475071988,0.4681156873703003,0.0005278525931430938,0.5131535132726034,0.0021513514057292485,0.5107482473055521,0.0021713480787283095,6.007228851318359,0.08085256048723391
9,0.9197994987468672,0.0035443948931656254,0.4487919807434082,0.00020581790665345436,0.4970015585422516,0.0019032644723176663,0.4945812225341797,0.0019910282033795785,6.044882138570149,0.2645714406428404
10,0.9172932330827067,0.007378246337784358,0.42833004395167035,0.0026028377039041617,0.4735286732514699,0.0031657055943831633,0.47108230988184613,0.0032523177223622427,6.109892050425212,0.24806767964446647
16,0.9223057644110276,0.0,0.3276734749476115,0.0043985842332705,0.3676433165868123,0.0061404977431866,0.3652477065722148,0.0061371350696315,5.983143965403239,0.01957976891918
32,0.953216374269006,0.0077473838725945,0.1678243925174077,0.0014809547554292,0.1921751995881398,0.0013118238740227,0.19009463985761,0.001317260638346,5.196272532145183,0.023889715638651
63,0.9573934837092732,0.0020463573456835,0.0214791446924209,0.0001793214460069,0.0060013543503979,9.332194650721124e-05,0.0028327280500282,0.0001136211722555,7.9137678146362305,0.051583869289711
