dimension,knn,knn_std,train_total_loss,train_total_loss_std,test_total_loss,test_total_loss_std,test_reconstruction,test_reconstruction_std,test_kl,test_kl_std
1,0.0252340252340252,0.0005755854954713,0.0274273008108139,0.0001017399929631,0.0274071482320626,0.0001042662220904,0.0268883568545182,0.0001084739001376,4.396888256072998,0.0840605079969292
2,0.0691900691900691,0.0022477332147308,0.0223637347420056,0.0001588039716962,0.0224149680385986,0.000133833419008,0.0219057084371646,0.0001214476219706,4.31610902150472,0.1057286940956091
3,0.1043956043956044,0.0047551165834545,0.0198220126330852,5.137387490804893e-05,0.0198987492670615,5.606446951004935e-05,0.0193880423903465,5.431714020341102e-05,4.328365484873454,0.0557069666012395
4,0.1277981277981278,0.0071254136752183,0.0177931152284145,8.367970995513325e-05,0.0177912482370932,7.982580957686939e-05,0.0172720551490783,6.56991464060754e-05,4.400289217631022,0.14300668368856
8,0.1731786731786731,0.0063117877164309,0.0128103097279866,0.0003553234332965,0.0128130158409476,0.0003656577188135,0.0122967747350533,0.0003739812221045,4.375272750854492,0.1003112811200421
9,0.17724867724867724,0.0037413057205637414,0.011969730568428835,0.0003406698047517363,0.01192693163951238,0.00031733410041923056,0.011412176924447218,0.00031147734892660045,4.3626759847005205,0.05037230625217938
10,0.1729751729751729,0.0041506060346705,0.0118845710530877,0.0006088323160074,0.0118099081640442,0.0006246592909207,0.011300828307867,0.0006298665116022,4.31458044052124,0.0579069323740308
