dimension,knn,knn_std,train_reconstruction,train_reconstruction_std,test_reconstruction,test_reconstruction_std
1,0.0207570207570207,0.0,0.026976721,0.0,0.027066223,0.0
2,0.0708180708180708,0.0,0.022155408,0.0,0.022228705,0.0
3,0.1043956043956044,0.0,0.01921066,0.0,0.01939406,0.0
4,0.1306471306471306,0.0,0.017130375,0.0,0.017213833,0.0
8,0.1654456654456654,0.0,0.011568312,0.0,0.011544296,0.0
9,0.17338217338217338,0.0,0.010747674852609634,0.0,0.010773858055472374,0.0
10,0.1788766788766788,0.0,0.009950153,0.0,0.009992982,0.0
