dimension,knn,knn_std,train_total_loss,train_total_loss_std,test_total_loss,test_total_loss_std,test_reconstruction,test_reconstruction_std,test_kl,test_kl_std
1,0.3801169590643274,0.0384112412116045,0.8289773861567179,0.0043278257961679,0.868539015452067,0.0107242286937858,0.8648818333943685,0.0106626943278484,9.133957227071129,0.7762110128396755
2,0.6766917293233083,0.017484084825778,0.7086697220802307,0.0058749316862013,0.7598674893379211,0.0147500428786693,0.7564339637756348,0.0147316624541048,8.575324376424154,0.3434072339152608
4,0.8529657477025898,0.0092275363552107,0.5855400760968527,0.0046619844767917,0.6292561292648315,0.009268337407497,0.6264975269635519,0.0093214579435203,6.889736652374268,0.283087460016628
8,0.9231411862990808,0.0082702547507198,0.4681156873703003,0.000527852593143,0.5131535132726034,0.0021513514057292,0.5107482473055521,0.0021713480787283,6.007228851318359,0.0808525604872339
9,0.9197994987468672,0.0035443948931656,0.4487919807434082,0.0002058179066534,0.4970015585422516,0.0019032644723176,0.4945812225341797,0.0019910282033795,6.044882138570149,0.2645714406428404
10,0.9172932330827068,0.0073782463377843,0.4283300439516703,0.0026028377039041,0.4735286732514699,0.0031657055943831,0.4710823098818461,0.0032523177223622,6.109892050425212,0.2480676796444664
11,0.9223057644110276,0.0020463573456835,0.4079799652099609,0.0021745967103868,0.4562232792377472,0.0030257876918766,0.4537288248538971,0.0030346244635041,6.229996522267659,0.1599752659860712
12,0.9189640768588138,0.0077473838725945,0.3892460266749064,0.0009182642497737,0.4351282020409902,0.0043758281931385,0.4326619505882263,0.0044323884861745,6.1595486005147295,0.1419317303511298
13,0.939014202172097,0.0071865708162427,0.3777159949143727,0.0023739696602284,0.4218614300092061,0.0032712736170738,0.4194613595803578,0.0033238429164904,5.994251092274983,0.1367877755693302
14,0.935672514619883,0.0062517249570157,0.3573087354501088,0.0017680551845448,0.3999570608139038,0.0035079809108806,0.3975856304168701,0.0035322052375024,5.922752539316813,0.06051948099603
15,0.9365079365079364,0.0031258624785079,0.348740667104721,0.002211003626525,0.3914569814999898,0.0053591240616562,0.3890661001205444,0.0053820218524774,5.971331755320231,0.0587817460290122
16,0.9223057644110276,0.0,0.3276734749476115,0.0043985842332705,0.3676433165868123,0.0061404977431866,0.3652477065722148,0.0061371350696315,5.983143965403239,0.01957976891918
18,0.9365079365079364,0.00851966501853431,0.3039669295152028,0.002997505117360193,0.34403926134109497,0.002225341049215404,0.3416992425918579,0.002214707650824801,5.844288508097331,0.10939842826566899
26,0.9406850459482038,0.0059073248219427,0.2219339907169342,0.0018991514013074,0.2541913390159607,0.0026653890490946,0.2520871808131535,0.0026643872557823,5.255235036214192,0.0029934795786608
32,0.953216374269006,0.0077473838725945,0.1678243925174077,0.0014809547554292,0.1921751995881398,0.0013118238740227,0.19009463985761,0.001317260638346,5.196272532145183,0.023889715638651
40,0.9532163742690056,0.0031258624785078,0.117494615415732,0.0086929561996302,0.1332738995552063,0.0035931176552265,0.1312227497498194,0.003592096598788,5.122830549875896,0.0760720342206115
47,0.9456975772765248,0.0042598325092671,0.0750436907013257,0.0020550153256314,0.0902662053704261,0.0019269600695517,0.0882144471009572,0.001943746835552,5.124346097310384,0.0457565226030971
56,0.9598997493734336,0.0,0.0468956803282102,0.0026842451316216,0.0586597633858521,0.0018618042968852,0.0566449326773484,0.0018542210862118,5.032118002573649,0.0464903779512521
62,0.9540517961570592,0.0065781185246548,0.0375130871931711,0.0021307754276968,0.0495392568409442,0.0059577288727313,0.0475812156995137,0.0059934617879184,4.8902842203776045,0.1024186321356173
