dimension,knn,knn_std,train_total_loss,train_total_loss_std,test_total_loss,test_total_loss_std,test_reconstruction,test_reconstruction_std,test_kl,test_kl_std
1,0.1724137931034483,0.048765984909417075,0.9088697830835978,0.08222859974294609,0.9626962343851725,0.0676097924074096,0.9617322683334351,0.06843559128648045,1.9001585679749649,1.6516469913803316
2,0.1724137931034483,0.11262021805899669,0.8325444062550863,0.03289771024538823,0.9073792099952698,0.005948158961369599,0.9051255385080973,0.005904752788050175,4.442283630371094,1.5995690111094523
3,0.16091954022988506,0.03251065660627805,0.743181566397349,0.121487195273175,0.8053366541862488,0.09597101543140288,0.8021971980730692,0.0972197950810005,6.18829607963562,2.6238249405184746
4,0.21839080459770113,0.09050583763231967,0.7003772656122843,0.07156587625267534,0.794484555721283,0.040371113523944416,0.7923344373703003,0.04089058061503585,4.2381744384765625,1.025129144145884
5,0.3333333333333333,0.016255328303139027,0.4801585078239441,0.025591841090322445,0.5674058397610983,0.04931040813847511,0.5658713579177856,0.049323163212146574,3.0246988932291665,0.08571403711830834
6,0.37931034482758624,0.028155054514749162,0.39843470851580304,0.0303195488077573,0.3405337631702423,0.021673585046521903,0.34008676807085675,0.02164608550224701,0.8810948928197225,0.05587614605437573
