dimension,knn,knn_std,train_reconstruction,train_reconstruction_std,test_reconstruction,test_reconstruction_std
1,0.1724137931034483,0.028155054514749173,0.8235901196797689,0.0141728495389699,0.9138542612393697,0.04873113170014
2,0.1264367816091954,0.05860941969646879,0.7105489373207092,0.03259187876326236,0.7673775553703308,0.045315896028309335
3,0.2298850574712644,0.043007556169815414,0.5782468318939209,0.04312659228083207,0.6741964221000671,0.03348032522802516
4,0.3218390804597701,0.04300755616981541,0.5636336406071981,0.017579636115423954,0.6610682209332784,0.06484092132616662
5,0.24137931034482762,0.08446516354424753,0.5232526659965515,0.016275999231941125,0.6292215784390768,0.011057130725066278
6,0.2758620689655173,0.048765984909417075,0.258412500222524,0.061979493946663855,0.3306765506664912,0.09343773642117012
