dimension,knn,knn_std,train_reconstruction,train_reconstruction_std,test_reconstruction,test_reconstruction_std
1,0.020757020757020756,0.0,0.026976721361279488,0.0,0.027066223323345184,0.0
2,0.07081807081807082,0.0,0.022155407816171646,0.0,0.022228704765439034,0.0
4,0.13064713064713065,0.0,0.017130374908447266,0.0,0.017213832587003708,0.0
8,0.16544566544566544,0.0,0.011568311601877213,0.0,0.011544295586645603,0.0
9,0.1733821733821733,0.0,0.0107476748526096,0.0,0.0107738580554723,0.0
10,0.1788766788766788,0.0,0.0099501525983214,0.0,0.0099929822608828,0.0
11,0.1898656898656898,0.0,0.0092742117121815,0.0,0.0093265455216169,0.0
