dimension,knn,knn_std,train_total_loss,train_total_loss_std,test_total_loss,test_total_loss_std,test_reconstruction,test_reconstruction_std,test_kl,test_kl_std
1,0.025234025234025237,0.0005755854954713447,0.027427300810813904,0.00010173999296315468,0.027407148232062657,0.00010426622209046128,0.026888356854518253,0.00010847390013763154,4.396888256072998,0.08406050799692924
2,0.06919006919006919,0.00224773321473082,0.022363734742005665,0.00015880397169628765,0.022414968038598698,0.00013383341900804745,0.021905708437164623,0.00012144762197060801,4.31610902150472,0.10572869409560914
4,0.1277981277981278,0.007125413675218399,0.017793115228414536,8.367970995513325e-05,0.01779124823709329,7.982580957686939e-05,0.01727205514907837,6.56991464060754e-05,4.400289217631022,0.14300668368856004
8,0.17317867317867316,0.006311787716430941,0.012810309727986654,0.00035532343329656047,0.012813015840947628,0.00036565771881351655,0.012296774735053381,0.0003739812221045868,4.375272750854492,0.1003112811200421
9,0.1772486772486772,0.0037413057205637,0.0119697305684288,0.0003406698047517,0.0119269316395123,0.0003173341004192,0.0114121769244472,0.0003114773489266,4.3626759847005205,0.0503723062521793
10,0.1729751729751729,0.0041506060346705,0.0118845710530877,0.0006088323160074,0.0118099081640442,0.0006246592909207,0.011300828307867,0.0006298665116022,4.31458044052124,0.0579069323740308
11,0.1711436711436711,0.0032047244094472,0.0121801753217975,0.0005774734898523,0.0120748927195866,0.000540304913941,0.0115738877405722,0.0005449159379332,4.246143500010173,0.1031940888295099
