dimension,knn,knn_std,train_reconstruction,train_reconstruction_std,test_reconstruction,test_reconstruction_std
1,0.0207570207570207,0.0017972651335628,0.0268997084349393,9.32971859052656e-05,0.0269923197726408,9.136207565219528e-05
2,0.0687830687830688,0.0032432595544381,0.0222747505952914,0.0003747775178884,0.022362429027756,0.0003957146703664
4,0.1157916157916157,0.0130112880448887,0.0170885361731052,0.0001186949701322,0.0172333245476086,9.818444025914836e-05
8,0.155067155067155,0.0040801663931142,0.0124289315814773,0.0001607233188146,0.0124471339707573,0.000164323931451
9,0.1562881562881563,0.01846364871341271,0.01250414177775383,0.0008177437030610105,0.01250826008617878,0.0009178492344864436
10,0.163003663003663,0.0049093765086751446,0.011634227509299913,0.00019254190968336234,0.011669619008898735,0.00023782276592685222
11,0.16687016687016687,0.00954066599082706,0.010737632401287556,0.0007469339403536914,0.010748226506014666,0.0007022243535183012
